"case","period","daynight","mode","hours","percentExpected"
"base","2026-09","night","NEUTRAL_MIN_VENT","2","1.5748031496062993"
"pad_0.7","all","all","HEAT_MAJOR_VENT_DRY","2086","34.26975521603417"
"pad_0.7","2026-01","all","HEAT_MAJOR_VENT_DRY","710","95.43010752688173"
"pad_0.7","all","night","HEAT_MAJOR_VENT_DRY","1068","35.108481262327416"
"pad_0.7","2026-01","night","HEAT_MAJOR_VENT_DRY","362","97.31182795698925"
"pad_0.7","all","day","HEAT_MAJOR_VENT_DRY","1018","33.431855500821015"
"pad_0.7","2026-01","day","HEAT_MAJOR_VENT_DRY","348","93.54838709677419"
"pad_0.7","all","all","PASSIVE_VENT_COOL_DRY","302","4.961393132906194"
"pad_0.7","2026-01","all","PASSIVE_VENT_COOL_DRY","21","2.8225806451612905"
"pad_0.7","all","day","PASSIVE_VENT_COOL_DRY","268","8.801313628899836"
"pad_0.7","2026-01","day","PASSIVE_VENT_COOL_DRY","20","5.376344086021505"
"pad_0.7","all","night","PASSIVE_VENT_COOL_DRY","34","1.1176857330703485"
"pad_0.7","2026-01","night","PASSIVE_VENT_COOL_DRY","1","0.26881720430107525"
"pad_0.7","all","all","HEAT_MIN_VENT","97","1.5935600459996715"
"pad_0.7","2026-01","all","HEAT_MIN_VENT","3","0.4032258064516129"
"pad_0.7","all","night","HEAT_MIN_VENT","56","1.8408941485864563"
"pad_0.7","2026-01","night","HEAT_MIN_VENT","2","0.5376344086021505"
"pad_0.7","all","all","PASSIVE_VENT_COOL_HUMID","408","6.702809265648103"
"pad_0.7","2026-01","all","PASSIVE_VENT_COOL_HUMID","1","0.13440860215053763"
"pad_0.7","all","night","PASSIVE_VENT_COOL_HUMID","10","0.32873109796186717"
"pad_0.7","2026-01","night","PASSIVE_VENT_COOL_HUMID","1","0.26881720430107525"
"pad_0.7","all","day","HEAT_MIN_VENT","41","1.3464696223316912"
"pad_0.7","2026-01","day","HEAT_MIN_VENT","1","0.26881720430107525"
"pad_0.7","all","all","HEAT_VENT_HUMID","73","1.1992771480203712"
"pad_0.7","2026-01","all","HEAT_VENT_HUMID","3","0.4032258064516129"
"pad_0.7","all","day","HEAT_VENT_HUMID","49","1.6091954022988506"
"pad_0.7","2026-01","day","HEAT_VENT_HUMID","3","0.8064516129032258"
"pad_0.7","all","all","NEUTRAL_MIN_VENT","477","7.83637259733859"
"pad_0.7","2026-01","all","NEUTRAL_MIN_VENT","1","0.13440860215053763"
"pad_0.7","all","night","NEUTRAL_MIN_VENT","133","4.372123602892834"
"pad_0.7","2026-01","night","NEUTRAL_MIN_VENT","1","0.26881720430107525"
"pad_0.7","all","all","MISSING_DATA","23","0.3778544438968293"
"pad_0.7","2026-01","all","MISSING_DATA","4","0.5376344086021505"
"pad_0.7","all","night","MISSING_DATA","18","0.591715976331361"
"pad_0.7","2026-01","night","MISSING_DATA","4","1.075268817204301"
"pad_0.7","all","all","ACTIVE_HUMIDIFICATION_LIKELY","80","1.3142763265976671"
"pad_0.7","2026-01","all","ACTIVE_HUMIDIFICATION_LIKELY","1","0.13440860215053763"
"pad_0.7","all","night","ACTIVE_HUMIDIFICATION_LIKELY","42","1.3806706114398422"
"pad_0.7","2026-01","night","ACTIVE_HUMIDIFICATION_LIKELY","1","0.26881720430107525"
"pad_0.7","2026-02","all","HEAT_MAJOR_VENT_DRY","549","81.69642857142857"
"pad_0.7","2026-02","night","HEAT_MAJOR_VENT_DRY","295","87.79761904761905"
"pad_0.7","2026-02","day","HEAT_MAJOR_VENT_DRY","254","75.5952380952381"
"pad_0.7","2026-02","all","MISSING_DATA","10","1.4880952380952381"
"pad_0.7","all","day","MISSING_DATA","5","0.16420361247947454"
"pad_0.7","2026-02","day","MISSING_DATA","3","0.8928571428571429"
"pad_0.7","2026-02","all","PASSIVE_VENT_COOL_DRY","78","11.607142857142858"
"pad_0.7","2026-02","day","PASSIVE_VENT_COOL_DRY","70","20.833333333333332"
"pad_0.7","2026-02","all","ACTIVE_HUMIDIFICATION_LIKELY","13","1.9345238095238095"
